name,value
DataWidth_Memory,64
Description_Memory,Physical Memory
DeviceLocator_Memory,ChannelA-DIMM0
FormFactor_Memory,12
Manufacturer_Memory,Samsung
MaxVoltage_Memory,0
MemoryType_Memory,0
MinVoltage_Memory,0
Name_Memory,Physical Memory
PartNumber_Memory,M471A1G43DB0-CPB    
SerialNumber_Memory,15971320
SMBIOSMemoryType_Memory,26
Speed_Memory,2133
Tag_Memory,Physical Memory 0
TotalWidth_Memory,64
TypeDetail_Memory,128
Caption_MemoryArray,Physical Memory Array
CreationClassName_MemoryArray,Win32_PhysicalMemoryArray
Description_MemoryArray,Physical Memory Array
Location_MemoryArray,3
MaxCapacity_MemoryArray,33554432
MaxCapacityEx_MemoryArray,33554432
MemoryDevices_MemoryArray,2
MemoryErrorCorrection_MemoryArray,3
Name_MemoryArray,Physical Memory Array
Tag_MemoryArray,Physical Memory Array 0
Use_MemoryArray,3
AdapterCompatibility_Video,Intel Corporation
AdapterDACType_Video,Internal
AdapterRAM_Video,1073741824
Availability_Video,3
Caption_Video,Intel(R) HD Graphics 530
ConfigManagerErrorCode_Video,0
ConfigManagerUserConfig_Video,False
CreationClassName_Video,Win32_VideoController
CurrentBitsPerPixel_Video,32
CurrentHorizontalResolution_Video,1920
CurrentNumberOfColors_Video,4294967296
CurrentNumberOfColumns_Video,0
CurrentNumberOfRows_Video,0
CurrentRefreshRate_Video,60
CurrentScanMode_Video,4
CurrentVerticalResolution_Video,1080
Description_Video,Intel(R) HD Graphics 530
DeviceID_Video,VideoController1
DitherType_Video,0
DriverDate_Video,20160106000000.000000-000
DriverVersion_Video,20.19.15.4364
InfFilename_Video,oem8.inf
InfSection_Video,iSKLD_w10
InstalledDisplayDrivers_Video,igdumdim64.dll,igd10iumd64.dll,igd10iumd64.dll,igd12umd64.dll,igdumdim32,igd10iumd32,igd10iumd32,igd12umd32
MaxRefreshRate_Video,60
MinRefreshRate_Video,60
Monochrome_Video,False
Name_Video,Intel(R) HD Graphics 530
PNPDeviceID_Video,PCI\VEN_8086&DEV_191B&SUBSYS_380A17AA&REV_06\3&11583659&0&10
Status_Video,OK
SystemCreationClassName_Video,Win32_ComputerSystem
SystemName_Video,BARUCH-LENOVO
VideoArchitecture_Video,5
VideoMemoryType_Video,2
VideoModeDescription_Video,1920 x 1080 x 4294967296 colors
VideoProcessor_Video,Intel(R) HD Graphics Family
AdapterCompatibility_Video,NVIDIA
AdapterDACType_Video,Integrated RAMDAC
AdapterRAM_Video,-1048576
Availability_Video,8
Caption_Video,NVIDIA GeForce GTX 950M
ConfigManagerErrorCode_Video,0
ConfigManagerUserConfig_Video,False
CreationClassName_Video,Win32_VideoController
Description_Video,NVIDIA GeForce GTX 950M
DeviceID_Video,VideoController2
DriverDate_Video,20161229000000.000000-000
DriverVersion_Video,21.21.13.7654
InfFilename_Video,oem22.inf
InfSection_Video,Section174
InstalledDisplayDrivers_Video,C:\Windows\System32\DriverStore\FileRepository\nvltwu.inf_amd64_dc8ffafad3ea7ddd\nvd3dumx,C:\Windows\System32\DriverStore\FileRepository\nvltwu.inf_amd64_dc8ffafad3ea7ddd\nvwgf2umx,C:\Windows\System32\DriverStore\FileRepository\nvltwu.inf_amd64_dc8ffafad3ea7ddd\nvwgf2umx,C:\Windows\System32\DriverStore\FileRepository\nvltwu.inf_amd64_dc8ffafad3ea7ddd\nvwgf2umx,C:\Windows\System32\DriverStore\FileRepository\nvltwu.inf_amd64_dc8ffafad3ea7ddd\nvd3dum,C:\Windows\System32\DriverStore\FileRepository\nvltwu.inf_amd64_dc8ffafad3ea7ddd\nvwgf2um,C:\Windows\System32\DriverStore\FileRepository\nvltwu.inf_amd64_dc8ffafad3ea7ddd\nvwgf2um,C:\Windows\System32\DriverStore\FileRepository\nvltwu.inf_amd64_dc8ffafad3ea7ddd\nvwgf2um
Monochrome_Video,False
Name_Video,NVIDIA GeForce GTX 950M
PNPDeviceID_Video,PCI\VEN_10DE&DEV_139A&SUBSYS_380B17AA&REV_A2\4&2B99E40&0&0008
Status_Video,OK
SystemCreationClassName_Video,Win32_ComputerSystem
SystemName_Video,BARUCH-LENOVO
VideoArchitecture_Video,5
VideoMemoryType_Video,2
VideoProcessor_Video,GeForce GTX 950M
Caption_Board,On Board Device
CreationClassName_Board,Win32_OnBoardDevice
Description_Board,Intel(R) Extreme Graphics 3 Controller
DeviceType_Board,3
Enabled_Board,True
Name_Board,On Board Device
Tag_Board,On Board Device 0
Caption_Board,On Board Device
CreationClassName_Board,Win32_OnBoardDevice
Description_Board,Intel(R) Azalia Audio Device
